rank,kpi,similarity,causality_raw,causality,score
1,memory__paymentservice,1.0,2.087986979077012,0.0021700358698851776,0.9002170035869885
2,cpu__cartservice,0.2857142857142857,7.671350640233814,0.007972801663319188,0.257940137309189
3,fs_writes__redis-cart,0.09090909090909091,962.1900762347727,1.0,0.1818181818181818
4,cpu__currencyservice,0.2,2.79446871128177,0.002904279289822901,0.1802904279289823
5,cpu__recommendationservice,0.2,0.7013090788734001,0.0007288675036202311,0.18007288675036204
6,memory__shippingservice,0.16129032258064516,7.886844663887416,0.008196763673504193,0.14598096668993107
7,memory__currencyservice,0.16129032258064516,2.897313564555248,0.003011165502655119,0.14546240687284617
8,memory__loadgenerator,0.16129032258064516,2.421712754902891,0.0025168756306233157,0.14541297788564297
9,cpu__productcatalogservice,0.16129032258064516,1.8351517301149676,0.0019072652851464165,0.1453520168510953
10,memory__redis-cart,0.16129032258064516,1.8317107043477052,0.0019036890418944307,0.1453516592267701
11,memory__productcatalogservice,0.16129032258064516,0.7475374414563956,0.0007769124416473365,0.1452389815667454
12,memory__frontend,0.16129032258064516,0.12974379220678445,0.0001348421641537755,0.14517477453899602
13,cpu__frontend,0.125,7.556068557872741,0.00785298949189024,0.11328529894918903
14,cpu__checkoutservice,0.125,0.9088696541898981,0.0009445843151349796,0.1125944584315135
15,cpu__redis-cart,0.125,0.556169531519794,0.0005780245974851316,0.11255780245974852
16,memory__checkoutservice,0.125,0.4963326911136187,0.0005158364270975009,0.11255158364270976
17,cpu__emailservice,0.09090909090909091,1.7670557418636874,0.0018364934179933563,0.08200183115998115
18,cpu__shippingservice,0.09090909090909091,0.3849534115086611,0.000400080421755183,0.08185818986035734
19,cpu__adservice,0.058823529411764705,12.751272587359887,0.01325234265277186,0.05426641073586542
20,cpu__loadgenerator,0.058823529411764705,3.0469266933517414,0.0031666577827064338,0.05325784224885888
21,memory__adservice,0.02857142857142857,2.537413980750569,0.002637123416071736,0.025977998055892886
22,memory__cartservice,0.02857142857142857,1.445739987839871,0.0015025513394373352,0.025864540848229447
23,cpu__paymentservice,0.02857142857142857,0.3861113682108901,0.0004012838811659892,0.025754414102402312
24,fs_reads__shippingservice,0.02857142857142857,1.4738426282927427e-15,0.0,0.025714285714285714
25,memory__emailservice,0.0,0.04788471197099739,4.976637480858006e-05,4.976637480858005e-06
26,memory__recommendationservice,0.0,0.02749038866888212,2.8570642483089838e-05,2.8570642483089833e-06
